Community,Weather station,Location,Elevation,January(Avg. high °C (°F)),January(Avg. low °C (°F)),July(Avg. high °C (°F)),July(Avg. low °C (°F)),Annual(Avg. high °C (°F)),Annual(Avg. low °C (°F))
"Alberton, PE[2]",,46°51′00″N 064°01′00″W﻿ / ﻿46.85000°N 64.01667°W,3 m (9.8 ft),−3.9 (25.0),−12.5 (9.5),23.2 (73.8),14.1 (57.4),9.6 (49.3),1.3 (34.3)
"Baker Lake, NU[3]",YBK,64°17′56″N 096°04′40″W﻿ / ﻿64.29889°N 96.07778°W,18.6 m (61 ft),−27.7 (−17.9),−34.8 (−30.6),17.0 (62.6),6.1 (43.0),−7.3 (18.9),−15.2 (4.6)
"Baie-Comeau, QC[4]",YBC,49°08′00″N 068°12′00″W﻿ / ﻿49.13333°N 68.20000°W,22 m (72 ft),−8.7 (16.3),−19.9 (−3.8),20.9 (69.6),10.3 (50.5),6.6 (43.9),−3.3 (26.1)
"Calgary, AB[5]",YYC,51°06′50″N 114°01′13″W﻿ / ﻿51.11389°N 114.02028°W,"1,084 m (3,556 ft)",−0.9 (30.4),−13.2 (8.2),23.2 (73.8),9.8 (49.6),10.8 (51.4),−1.9 (28.6)
"Charlottetown, PE[6]",YYG,46°17′19″N 063°07′43″W﻿ / ﻿46.28861°N 63.12861°W,49 m (161 ft),−3.4 (25.9),−12.1 (10.2),23.3 (73.9),14.1 (57.4),9.9 (49.8),1.3 (34.3)
"Churchill, MB[7]",YYQ,58°44′21″N 094°03′59″W﻿ / ﻿58.73917°N 94.06639°W,29 m (95 ft),−21.9 (−7.4),−30.1 (−22.2),18.0 (64.4),7.3 (45.1),−2.3 (27.9),−10.7 (12.7)
"Corner Brook, NL[8]",,48°57′00″N 057°57′00″W﻿ / ﻿48.95000°N 57.95000°W,5 m (16 ft),−2.7 (27.1),−9.6 (14.7),22.0 (71.6),12.6 (54.7),9.0 (48.2),1.3 (34.3)
"Dawson City, YT[9]",YDA,64°02′35″N 139°07′40″W﻿ / ﻿64.04306°N 139.12778°W,"370 m (1,210 ft)",−21.8 (−7.2),−30.1 (−22.2),23.1 (73.6),8.2 (46.8),2.1 (35.8),−10.3 (13.5)
"Edmonton, AB[10]",YXD,53°34′24″N 113°31′06″W﻿ / ﻿53.57333°N 113.51833°W,"671 m (2,201 ft)",−6.0 (21.2),−14.8 (5.4),23.1 (73.6),12.3 (54.1),9.3 (48.7),−1.0 (30.2)
"Edmundston, NB[11]",,47°20′47″N 068°11′16″W﻿ / ﻿47.34639°N 68.18778°W,163 m (535 ft),−7.1 (19.2),−18.5 (−1.3),24.7 (76.5),11.5 (52.7),9.5 (49.1),−2.3 (27.9)
"Fort Nelson, BC[12]",YYE,58°50′11″N 122°35′50″W﻿ / ﻿58.83639°N 122.59722°W,"382 m (1,253 ft)",−16.1 (3.0),−24.6 (−12.3),23.2 (73.8),10.9 (51.6),5.2 (41.4),−6.0 (21.2)
"Fredericton, NB[13]",YFC,45°52′20″N 066°31′40″W﻿ / ﻿45.87222°N 66.52778°W,21 m (69 ft),−3.8 (25.2),−15.0 (5.0),25.5 (77.9),13.0 (55.4),11.4 (52.5),−0.2 (31.6)
"Halifax, NS[14]",YHZ,44°52′48″N 063°30′00″W﻿ / ﻿44.88000°N 63.50000°W,145 m (476 ft),−1.3 (29.7),−10.4 (13.3),23.8 (74.8),13.7 (56.7),11.3 (52.3),1.9 (35.4)
"High Level, AB[15]",YOJ,58°37′17″N 117°09′53″W﻿ / ﻿58.62139°N 117.16472°W,"338 m (1,109 ft)",−15.0 (5.0),−25.8 (−14.4),23.0 (73.4),9.9 (49.8),5.2 (41.4),−7.2 (19.0)
"Inuvik, NT[16]",YEV,68°18′15″N 133°28′58″W﻿ / ﻿68.30417°N 133.48278°W,68 m (223 ft),−22.8 (−9.0),−31.0 (−23.8),19.5 (67.1),8.6 (47.5),−3.5 (25.7),−12.9 (8.8)
"Iqaluit, NU[17]",YFB,63°45′00″N 068°33′00″W﻿ / ﻿63.75000°N 68.55000°W,34 m (112 ft),−22.8 (−9.0),−30.9 (−23.6),12.3 (54.1),4.1 (39.4),−5.6 (21.9),−13.1 (8.4)
"Kamloops, BC[18]",YKA,50°42′08″N 120°26′31″W﻿ / ﻿50.70222°N 120.44194°W,"345.3 m (1,133 ft)",0.4 (32.7),−5.9 (21.4),28.9 (84.0),14.2 (57.6),14.8 (58.6),3.7 (38.7)
"Kugluktuk, NU[19]",YCO,67°49′00″N 115°08′38″W﻿ / ﻿67.81667°N 115.14389°W,23 m (75 ft),−23.2 (−9.8),−31.4 (−24.5),15.6 (60.1),6.1 (43.0),−6.1 (21.0),−14.4 (6.1)
"La Ronge, SK[20]",YVC,55°09′00″N 105°16′00″W﻿ / ﻿55.15000°N 105.26667°W,"379 m (1,243 ft)",−13.4 (7.9),−24.2 (−11.6),23.5 (74.3),11.5 (52.7),5.9 (42.6),−5.5 (22.1)
"Mayo, YT[21]",YMA,63°37′00″N 135°52′00″W﻿ / ﻿63.61667°N 135.86667°W,"504 m (1,654 ft)",−18.0 (−0.4),−28.2 (−18.8),22.8 (73.0),9.4 (48.9),3.4 (38.1),−8.2 (17.2)
"Moncton, NB[22]",YQM,46°06′19″N 064°41′02″W﻿ / ﻿46.10528°N 64.68389°W,71 m (233 ft),−3.7 (25.3),−14.0 (6.8),24.7 (76.5),12.9 (55.2),10.7 (51.3),0.1 (32.2)
"Montreal, QC[23]",YUL,45°28′00″N 073°45′00″W﻿ / ﻿45.46667°N 73.75000°W,36 m (118 ft),−5.3 (22.5),−14.0 (6.8),26.3 (79.3),16.1 (61.0),11.5 (52.7),2.0 (35.6)
"Nain, NL[24]",YDP,56°33′00″N 061°41′00″W﻿ / ﻿56.55000°N 61.68333°W,6 m (20 ft),−13.5 (7.7),−21.6 (−6.9),14.9 (58.8),5.3 (41.5),1.7 (35.1),−6.6 (20.1)
"Norman Wells, NT[25]",YVQ,65°16′57″N 126°48′01″W﻿ / ﻿65.28250°N 126.80028°W,73 m (240 ft),−22.2 (−8.0),−29.9 (−21.8),22.5 (72.5),11.5 (52.7),−0.4 (31.3),−9.9 (14.2)
"Ottawa, ON[26]",YOW,45°19′21″N 075°40′09″W﻿ / ﻿45.32250°N 75.66917°W,114 m (374 ft),−5.8 (21.6),−14.8 (5.4),26.5 (79.7),15.5 (59.9),11.3 (52.3),1.4 (34.5)
"Princeton, BC[27]",CYDC,49°28′05″N 120°30′41″W﻿ / ﻿49.46806°N 120.51139°W,"700 m (2,300 ft)",−1.4 (29.5),−8.6 (16.5),26.3 (79.3),9.5 (49.1),12.9 (55.2),0.2 (32.4)
"Quebec City, QC[28]",YQB,46°48′00″N 071°23′00″W﻿ / ﻿46.80000°N 71.38333°W,74 m (243 ft),−7.9 (17.8),−17.7 (0.1),25.0 (77.0),13.5 (56.3),9.2 (48.6),−0.8 (30.6)
"Regina, SK[29]",YQR,50°26′00″N 104°40′00″W﻿ / ﻿50.43333°N 104.66667°W,"578 m (1,896 ft)",−9.3 (15.3),−20.1 (−4.2),25.8 (78.4),11.9 (53.4),9.3 (48.7),−3.2 (26.2)
"Resolute, NU[30]",YRB,74°43′01″N 094°58′10″W﻿ / ﻿74.71694°N 94.96944°W,68 m (223 ft),−28.6 (−19.5),−35.3 (−31.5),7.3 (45.1),1.7 (35.1),−12.7 (9.1),−18.6 (−1.5)
"Saskatoon, SK[31]",YXE,52°10′00″N 106°43′00″W﻿ / ﻿52.16667°N 106.71667°W,"504 m (1,654 ft)",−10.1 (13.8),−20.7 (−5.3),25.3 (77.5),11.6 (52.9),8.6 (47.5),−3.5 (25.7)
"St. John's, NL[32]",YYT,47°37′20″N 052°44′34″W﻿ / ﻿47.62222°N 52.74278°W,141 m (463 ft),−0.8 (30.6),−8.2 (17.2),20.7 (69.3),10.9 (51.6),9.0 (48.2),1.0 (33.8)
"Summerside, PE[33]",YSU,46°26′20″N 063°49′54″W﻿ / ﻿46.43889°N 63.83167°W,20 m (66 ft),−3.2 (26.2),−12.1 (10.2),23.8 (74.8),14.6 (58.3),9.9 (49.8),1.6 (34.9)
"Sydney, NS[34]",YQY,46°10′00″N 060°02′53″W﻿ / ﻿46.16667°N 60.04806°W,62 m (203 ft),−1.1 (30.0),−9.6 (14.7),23.1 (73.6),12.6 (54.7),10.3 (50.5),1.4 (34.5)
"Thompson, MB[35]",YTH,55°48′12″N 097°51′45″W﻿ / ﻿55.80333°N 97.86250°W,224 m (735 ft),−18.3 (−0.9),−29.3 (−20.7),23.1 (73.6),9.1 (48.4),3.4 (38.1),−9.1 (15.6)
"Timmins, ON[36]",YTS,48°34′11″N 081°22′36″W﻿ / ﻿48.56972°N 81.37667°W,295 m (968 ft),−10.6 (12.9),−23.0 (−9.4),24.2 (75.6),10.7 (51.3),7.9 (46.2),−4.3 (24.3)
"Toronto, ON[37]",YYZ,43°40′38″N 079°37′50″W﻿ / ﻿43.67722°N 79.63056°W,173 m (568 ft),−1.5 (29.3),−9.4 (15.1),27.1 (80.8),15.8 (60.4),13.0 (55.4),3.3 (37.9)
"Vancouver, BC[38]",YVR,49°11′42″N 123°10′55″W﻿ / ﻿49.19500°N 123.18194°W,4 m (13 ft),6.9 (44.4),1.4 (34.5),22.2 (72.0),13.7 (56.7),13.9 (57.0),6.8 (44.2)
"Victoria, BC[39]",YYJ,48°38′50″N 123°25′33″W﻿ / ﻿48.64722°N 123.42583°W,20 m (66 ft),7.6 (45.7),1.5 (34.7),22.4 (72.3),11.3 (52.3),14.4 (57.9),5.6 (42.1)
"Whitehorse, YT[40]",YXY,60°42′34″N 135°04′08″W﻿ / ﻿60.70944°N 135.06889°W,"706 m (2,316 ft)",−11.0 (12.2),−19.2 (−2.6),20.6 (69.1),8.0 (46.4),5.1 (41.2),−5.2 (22.6)
"Windsor, ON[41]",YQG,42°16′32″N 82°57′20″W﻿ / ﻿42.27556°N 82.95556°W,190 m (620 ft),−0.3 (31.5),−7.3 (18.9),28.1 (82.6),17.9 (64.2),14.4 (57.9),5.4 (41.7)
"Winnipeg, MB[42]",YWG,49°55′00″N 097°14′00″W﻿ / ﻿49.91667°N 97.23333°W,239 m (784 ft),−11.3 (11.7),−21.4 (−6.5),25.9 (78.6),13.5 (56.3),8.7 (47.7),−2.7 (27.1)
"Yarmouth, NS[43]",YQI,43°49′51″N 066°05′19″W﻿ / ﻿43.83083°N 66.08861°W,43 m (141 ft),0.8 (33.4),−6.9 (19.6),20.9 (69.6),12.7 (54.9),11.1 (52.0),3.2 (37.8)
"Yellowknife, NT[44]",YZF,62°27′46″N 114°26′25″W﻿ / ﻿62.46278°N 114.44028°W,206 m (676 ft),−21.6 (−6.9),−29.5 (−21.1),21.3 (70.3),12.6 (54.7),0.0 (32.0),−8.6 (16.5)
